"name","price","discount","sold","user_rate_amt"
"Tivi 43 inch Giá Rẻ SMART TV FHD Coocaa 43 inch 43S3U+ Full HD - tivi giá rẻ - CC Cast, Dolby audio, Youtube, Hệ điều hành OS Coolita - Tặng 1 Năm ClipTV, FPT 12 tháng gói family + 6 tháng VOD 4K","3.890.000 ₫","voucher giảm 51%","512 Đã bán","(262)"
"Bộ Chia 2, 3, 4, 6, 8 PACIFIC 42xxAP (LOẠI 1) Chia Chảo, Truyền Hình Cáp, Anten KTS","74.000 ₫","voucher giảm 4%","82 Đã bán","(18)"
"Đầu thu KTS mặt đất An Viên DVB T2 Xem TRuyền Hình Miễn Phí - Lắp được cho Mọi TV","200.000 ₫","voucher giảm 50%","12 Đã bán","(7)"
"Google Tivi QLED TCL 4K 55 inch 55C69B - [HCM] [Trả Góp] - Thiết kế tivi màn hình phẳng, nguyên khối, siêu mỏng - GIAO HÀNG TOÀN QUỐC - FREESHIP HCM","11.219.000 ₫","voucher giảm 34%","",""
"Tv box bộ nhớ 32G Ram 4G hỗ trợ Bluetooth 5.0 android 13.0 Rockchip 3528 độ phân giải 8K cực nét bảo hành 12 tháng H96MAX android tv box","699.000 ₫","voucher giảm 42%","378 Đã bán","(138)"
"[GIAO TẠI HCM] - [MODEL 2022]-Smart TV Samsung UHD 4K 65 inch UA65AU7002 (2022) - Kết nối bluetooth - Bộ xử lý hình ảnh Crystal 4K - Công nghệ Motion Xcelerator - 65AU7002","10.650.000 ₫","","",""
"[NEW 2023][Giao hàng và lắp đặt miễn phí toàn quốc] 85QN900C - Smart Tivi SAMSUNG Neo QLED 8K 85 inch QA85QN900CKXXV QA85QN900C","179.000.000 ₫","voucher giảm 19%","",""
"Bộ Chia 2, 3, 4, 6, 8 ZHONG GUANG, Pacific (LOẠI 1) Chia Cáp, Anten KTS","54.000 ₫","voucher giảm 17%","189 Đã bán","(43)"
"[HCM][Zinwell-Đài Loan]Bộ Chia 2, 3, 4, 6, 8 Chia Cáp, Anten KTS","60.000 ₫","voucher giảm 13%","30 Đã bán","(12)"
"Darling LCD - Remote điều khiển Tivi truyền hình Darling LCD LED không có mạng","32.000 ₫","","168 Đã bán","(39)"
"[Rẻ Vô Đối ] Giá treo màn hình máy tính F80/P80 - Xoay 360 độ - Hàng nhập khẩu Bảo Hành 24 Tháng","325.000 ₫","voucher giảm 7%","6 Đã bán","(1)"
"Android tv box Ram 4GB bộ nhớ trong 32GB hệ điều hành android 13.0 Wifi kép Bluetooth 5.0 bảo hành 12 tháng H96MAX 3528 tivi box","699.000 ₫","voucher giảm 41%","44 Đã bán","(15)"
"[HCM] Samsung Smart Tivi NEO QLED 4K 75 Inch QA75QN85B","34.080.000 ₫","voucher giảm 29%","",""
"Thiết Bị Hdmi Không Dây Anycast M9 Plus Kết Nối, Truyền Tải Hình Ảnh, Video Từ Điện Thoại, Máy Tính Lên Tivi Hoặc Máy Chiếu Full HD Tốc Độ Kết Nối Siêu Nhanh – Sản Phẩm Chính Hãng","300.000 ₫","voucher giảm 50%","328 Đã bán","(197)"
"Cáp HDMI 2.1 Fiber Lõi Quang Học Công Nghệ Mới 8K/ 4K UltraHD Video Unitek Cao Cấp","1.950.000 ₫","voucher giảm 11%","",""
"[HCM] Bộ giải mã âm thanh VietKTV DA9S - Hàng Chính Hãng","649.000 ₫","voucher giảm 1%","",""
"[HCM]DÂY CÁP ĐỒNG TRỤC 5C HONJIANDA 100YA- DÂY CÁP GR6 DÙNG ĐI DÂY CAMERA DÂY ANTEN ĐƯỜNG TRUYỀN CÁP - DÂY CÁP 100YA","195.000 ₫","","60 Đã bán","(16)"
"Bộ Chuyển Đổi Cổng Quang Tivi - Loa, Âm Ly + Cáp Optical 1m","85.000 ₫","voucher giảm 19%","33 Đã bán","(13)"
"Fpt play box 2018 android đã qua sử dụng giá từ 400k remote thường","400.000 ₫","","39 Đã bán","(10)"
"Google Tivi Coocaa 40 Inch 40Z73 - [HCM] [Trả Góp] - Remote tích hợp micro tìm kiếm giọng nói -GIAO HÀNG TOÀN QUỐC - FREESHIP HCM","5.159.000 ₫","voucher giảm 21%","",""
"HDMI Không Dây ANYCAST M9 Plus - Tốc Độ Kết Nối Siêu Nhanh - Full HD 1080P mới - HDMI không dây - truyền màn hình điện thoại sang TV, máy chiếu – Hàng Chính Hãng","225.000 ₫","voucher giảm 50%","30 Đã bán","(23)"
"Giá Treo TiVi Cố Định Hỗ Trợ Kích Thước TV 32 - 65 inch Đi Kèm Ốc Vít – Loại Dày Chắc Chắn","195.000 ₫","voucher giảm 47%","124 Đã bán","(89)"
"TCL 3D dài - Remote điều khiển Tivi TCL Smart thông minh - TCL3","30.000 ₫","","665 Đã bán","(121)"
"Khung kệ treo tivi cố định, giá treo tivi led Cảnh Phong hàng loại dày cho mọi hãng tivi từ 19inch-85inch","227.000 ₫","voucher giảm 9%","129 Đã bán","(16)"
"Điều khiển Remote đầu truyền hình FPT","39.000 ₫","voucher giảm 13%","48 Đã bán","(14)"
"Android tv box Ram 4GB bộ nhớ trong 64GB Wifi 6.0 hệ điều hành android 13.0 hỗ trợ video 8K xem phim xem kênh truyền hình thỏa thích bảo hành 12 tháng H96MAX M2","1.100.000 ₫","voucher giảm 33%","",""
"Tivi Box Ram 4GB bộ nhớ 32GB hệ điều hành android 13.0 mới nhất truy cập đa ứng dụng bảo hành 12 tháng H96MAX 3528 Android tv box","699.000 ₫","voucher giảm 41%","181 Đã bán","(84)"
"Bộ khuếch đại truyền hình cáp PACIFIC DA-20 (Bạc)","329.000 ₫","","318 Đã bán","(39)"
"Cáp HDMI 2.0 độ phân giải cao 4K/60Hz Ugreen HD119 | Cho RTX 3080 PS4 Xbox Bộ Chia HDMI HDMI Công Tắc Aux | Cáp Ethernet 4K 3D | Bảo Hành 1 đổi 1 18 Tháng | 30999 40101 40102 40103 40104 40105 40106 40107 40108","180.000 ₫","voucher giảm 23%","337 Đã bán","(54)"
"[Giao hàng và lắp đặt nội thành phố HCM trong 2H] [Model 2024] 55DU7000 - Smart Tivi Samsung Crystal UHD 4K 55 inch UA55DU7000 UA55DU7000KXXV","12.490.000 ₫","voucher giảm 10%","",""
"Smart Tivi Samsung 4K QLED Q60BA - Bảo hành 24 tháng - Miễn phí giao hàng Hà Nội & TP.HCM","9.889.000 ₫","voucher giảm 45%","",""
"Khung mâm chính hãng Cảnh Phong giá treo tivi led cố định cho mọi hãng tivi từ 19-55 inch kèm ốc vít M55","66.000 ₫","voucher giảm 33%","53 Đã bán","(12)"
"Giá treo màn hình máy tính Govis từ 17-30 inch - Tải trọng 9Kg, xoay 360 độ, Mẫu Mới","480.000 ₫","voucher giảm 50%","39 Đã bán","(39)"
"Khung mâm chính hãng Cảnh Phong giá treo tivi led cố định cho mọi hãng tivi từ 19-55 inch kèm ốc vít M55","66.000 ₫","","10 Đã bán","(3)"
"[ 20H 09-12/10 SALE BÙNG NỔ 22990K TẶNG 10 ĐƠN ĐẦU TIÊN NỒI CHIÊN TCL - 5 ĐƠN TIẾP THEO MLKK KJ 270F CHO DÒNG ML FRESHIN, TV C755, C845 ] TCL MINI LED ALL-ROUND TV - Tivi 75 inch - 75C845 - Google TV - OK Google - tivi 75 inch chất lượng - Hàng chính hãng","48.290.000 ₫","","18 Đã bán","(5)"
"Dây Cáp Nối Tường Ra TV UNISAT Chịu Nhiệt, Chống Nhiễu Cực Tốt","32.000 ₫","voucher giảm 30%","487 Đã bán","(147)"
"Sony 1275 #1370 - Remote điều khiển Tivi Sony RM-L1275","30.000 ₫","","92 Đã bán","(17)"
"[Hàng tặng không bán] Giá treo TiVi thẳng Daikiosan DP243","1.000.000 ₫","","102 Đã bán","(37)"
"UGREEN Type c to DP1.4 Cable 8K 60Hz Uni-directional Support Support VVR Funcion 3D HDR Dolby for laptop Desktop Monitor model:25158","279.000 ₫","voucher giảm 26%","147 Đã bán","(29)"
"Cáp HDMI 2.1 48Gbps Ugreen HD140 Hỗ trợ phân giải 8K/60Hz | Sử dụng cho Xiaomi TV Box PS5 HUB USB | Truyền tải tín hiệu không suy hao, Vỏ hợp kim chống nhiễu tốt | Bảo Hành 1 đổi 1 18 Tháng | 40300 80401 80402 80403 80404 804","192.000 ₫","voucher giảm 16%","615 Đã bán","(163)"
"X96q 2gb 16gb Android 10.0 4k Tv Box Allwinner H313 Quad Core 2.4g Wifi Google Player Youtube Set Top Box Với Hdmi-tương thích 2.0","248.500 ₫","","17 Đã bán","(6)"
"[SIÊU SALE TỪ 20H 9-12.10] Smart Tivi Samsung 4K Crystal UHD DU8000 UA65DU8000KXXV(2024)- 65 inch- Hàng Chính Hãng - Phân Phối Bởi Lazada - MIỄN PHÍ VẬN CHUYỂN TOÀN QUỐC","14.162.000 ₫","voucher giảm 29%","185 Đã bán","(37)"
"[HCM]Điều khiển máy lạnh HITACHI - Remote máy lạnh HITACHI- HITACHI","59.000 ₫","voucher giảm 9%","65 Đã bán","(14)"
"Máy Chiếu Mini Cao Cấp 4K K670 Plus Mới Nhất 2024, Máy chiếu LED thông minh Android 11 với Tự động lấy nét WiFi 5G kép và Điện thoại gương","2.218.605 ₫","voucher giảm 52%","695 Đã bán","(129)"
"Google Tivi Xiaomi A HD 32 Inch L32M8-P2SEA - Vẻ ngoài cao cấp, thiết kế siêu tràn viền Google TV với hàng nghìn Ứng dụng - GIAO TOÀN QUỐC - FREESHIP HCM","3.979.000 ₫","voucher giảm 25%","17 Đã bán","(7)"
"Smart Tivi Samsung OLED 4K S95C","62.910.000 ₫","voucher giảm 10%","",""
"Google Tivi Coocaa 43 Inch 43Z73 - GIAO TOÀN QUỐC - FREESHIP HCM","5.459.000 ₫","voucher giảm 24%","16 Đã bán","(4)"
"TV box android 13.0 Ram 4G bộ nhớ 32GB hỗ trợ video 4k siêu rõ nét phù hợp giải trí cho cả gia đình bảo hành 12 tháng H96max RK 3528 android tv box","699.000 ₫","voucher giảm 41%","374 Đã bán","(71)"
"Google TV Xiaomi A HD 32 Inch L32M8-P2SEA - Premium look, super borderless design Google TV with thousands of Apps","3.529.000 ₫","voucher giảm 26%","9 Đã bán","(2)"
"Remote điều khiển đầu thu Viettel TV360, Điều Khiển Viettel TV360 Có Giọng Nói - Tặng kèm pin","195.000 ₫","voucher giảm 50%","",""
"SmartBox - Remote điều khiểu SmartBox, thay thế FPT 2018 2019","30.000 ₫","","139 Đã bán","(18)"
"Bao đựng Tivi 25in, 32in, 40in, 43in,50in","319.000 ₫","","49 Đã bán","(12)"
"phim phân cực 24 inch 24in 24inch wide (hình chữ nhật) để dán cho màn hình LCD tivi hmilaptop điện thoại odo xe máy","95.000 ₫","","107 Đã bán","(18)"
