"name","price","discount","sold","user_rate_amt"
"NB–F80 /P80 Giá Treo Màn hình máy tính/ Tay treo màn hình/ Xoay 360 độ [Màn Hình 17"" - 27""] – [ Ưu việt hơn XL03/ M051]","359.000 ₫","voucher giảm 10%","223 Đã bán","(60)"
"Tivi 43 inch Giá Rẻ SMART TV FHD Coocaa 43 inch 43S3U+ Full HD - tivi giá rẻ - CC Cast, Dolby audio, Youtube, Hệ điều hành OS Coolita - Tặng 1 Năm ClipTV, FPT 12 tháng gói family + 6 tháng VOD 4K","3.890.000 ₫","LazFlash Sale,51% Off","512 Đã bán","(262)"
"Bộ Chia 2, 3, 4, 6, 8 PACIFIC 42xxAP (LOẠI 1) Chia Chảo, Truyền Hình Cáp, Anten KTS","74.000 ₫","voucher giảm 4%","82 Đã bán","(18)"
"Đầu thu KTS mặt đất An Viên DVB T2 Xem TRuyền Hình Miễn Phí - Lắp được cho Mọi TV","200.000 ₫","voucher giảm 50%","12 Đã bán","(7)"
"Tv box bộ nhớ 32G Ram 4G hỗ trợ Bluetooth 5.0 android 13.0 Rockchip 3528 độ phân giải 8K cực nét bảo hành 12 tháng H96MAX android tv box","699.000 ₫","voucher giảm 42%","378 Đã bán","(138)"
"Bộ Chia 2, 3, 4, 6, 8 ZHONG GUANG, Pacific (LOẠI 1) Chia Cáp, Anten KTS","54.000 ₫","voucher giảm 17%","189 Đã bán","(43)"
"[HCM][Zinwell-Đài Loan]Bộ Chia 2, 3, 4, 6, 8 Chia Cáp, Anten KTS","60.000 ₫","voucher giảm 13%","30 Đã bán","(12)"
"Darling LCD - Remote điều khiển Tivi truyền hình Darling LCD LED không có mạng","32.000 ₫","","168 Đã bán","(39)"
"[Rẻ Vô Đối ] Giá treo màn hình máy tính F80/P80 - Xoay 360 độ - Hàng nhập khẩu Bảo Hành 24 Tháng","325.000 ₫","voucher giảm 7%","6 Đã bán","(1)"
"Android tv box Ram 4GB bộ nhớ trong 32GB hệ điều hành android 13.0 Wifi kép Bluetooth 5.0 bảo hành 12 tháng H96MAX 3528 tivi box","699.000 ₫","voucher giảm 41%","44 Đã bán","(15)"
"[HCM] Samsung Smart Tivi NEO QLED 4K 75 Inch QA75QN85B","34.080.000 ₫","voucher giảm 29%","",""
"[HCM] Bộ giải mã âm thanh VietKTV DA9S - Hàng Chính Hãng","649.000 ₫","voucher giảm 1%","",""
"[HCM]DÂY CÁP ĐỒNG TRỤC 5C HONJIANDA 100YA- DÂY CÁP GR6 DÙNG ĐI DÂY CAMERA DÂY ANTEN ĐƯỜNG TRUYỀN CÁP - DÂY CÁP 100YA","195.000 ₫","","60 Đã bán","(16)"
"Bộ Chuyển Đổi Cổng Quang Tivi - Loa, Âm Ly + Cáp Optical 1m","85.000 ₫","voucher giảm 19%","33 Đã bán","(13)"
"Hdmi Không Dây Anycast M9 Plus Full HD 1080P - Tốc Độ Truyền Hình Ảnh Video Cực Nhanh Cực Nét - Dễ Sử Dụng Chỉ Cần Click 1 Thao Tác Đơn Giản - Bảo Hành Toàn Quốc","250.000 ₫","voucher giảm 50%","125 Đã bán","(104)"
"[ 20H 09-12/10 SALE BÙNG NỔ 17990K TẶNG 10 ĐƠN ĐẦU TIÊN NỒI CHIÊN TCL - 5 ĐƠN TIẾP THEO MLKK KJ 270F CHO DÒNG ML FRESHIN, TV C755, C845 ] TCL 55C755 QD-Mini LED 4K TV - Tivi 55inch - Hàng chính hãng - Bảo hành 2 năm","21.990.000 ₫","","7 Đã bán",""
"Fpt play box 2018 android đã qua sử dụng giá từ 400k remote thường","400.000 ₫","","39 Đã bán","(10)"
"Google Tivi Coocaa 40 Inch 40Z73 - [HCM] [Trả Góp] - Remote tích hợp micro tìm kiếm giọng nói -GIAO HÀNG TOÀN QUỐC - FREESHIP HCM","5.159.000 ₫","voucher giảm 21%","",""
"HDMI Không Dây ANYCAST M9 Plus - Tốc Độ Kết Nối Siêu Nhanh - Full HD 1080P mới - HDMI không dây - truyền màn hình điện thoại sang TV, máy chiếu – Hàng Chính Hãng","225.000 ₫","voucher giảm 50%","30 Đã bán","(23)"
"Giá Treo TiVi Cố Định Hỗ Trợ Kích Thước TV 32 - 65 inch Đi Kèm Ốc Vít – Loại Dày Chắc Chắn","195.000 ₫","voucher giảm 47%","124 Đã bán","(89)"
"TCL 3D dài - Remote điều khiển Tivi TCL Smart thông minh - TCL3","30.000 ₫","","665 Đã bán","(121)"
"Khung kệ treo tivi cố định, giá treo tivi led Cảnh Phong hàng loại dày cho mọi hãng tivi từ 19inch-85inch","227.000 ₫","voucher giảm 9%","129 Đã bán","(16)"
"Điều khiển Remote đầu truyền hình FPT","39.000 ₫","voucher giảm 13%","48 Đã bán","(14)"
"[HCM]Remote Đầu karaoke Arirang AR-3600 /3600Deluxe /3600Deluxe A /3600HDD /3600HDMI","90.000 ₫","voucher giảm 40%","86 Đã bán","(17)"
"Giá treo màn hình máy tính Human Motion T9 Pro II tải trọng 18kg x2, T9 Pro II RGB có đèn LED ( 23 - 43 inch) xoay nhiều góc êm ái","1.990.000 ₫","voucher giảm 34%","",""
"Android tv box Ram 4GB bộ nhớ trong 64GB Wifi 6.0 hệ điều hành android 13.0 hỗ trợ video 8K xem phim xem kênh truyền hình thỏa thích bảo hành 12 tháng H96MAX M2","1.100.000 ₫","voucher giảm 33%","",""
"Tivi Box Ram 4GB bộ nhớ 32GB hệ điều hành android 13.0 mới nhất truy cập đa ứng dụng bảo hành 12 tháng H96MAX 3528 Android tv box","699.000 ₫","voucher giảm 41%","181 Đã bán","(84)"
"Cáp HDMI 2.0 độ phân giải cao 4K/60Hz Ugreen HD119 | Cho RTX 3080 PS4 Xbox Bộ Chia HDMI HDMI Công Tắc Aux | Cáp Ethernet 4K 3D | Bảo Hành 1 đổi 1 18 Tháng | 30999 40101 40102 40103 40104 40105 40106 40107 40108","180.000 ₫","voucher giảm 23%","337 Đã bán","(54)"
"[Giao hàng và lắp đặt nội thành phố HCM trong 2H] [Model 2024] 55DU7000 - Smart Tivi Samsung Crystal UHD 4K 55 inch UA55DU7000 UA55DU7000KXXV","12.490.000 ₫","voucher giảm 10%","",""
"Smart Tivi Samsung 4K QLED Q60BA - Bảo hành 24 tháng - Miễn phí giao hàng Hà Nội & TP.HCM","9.889.000 ₫","voucher giảm 45%","",""
"Khung mâm chính hãng Cảnh Phong giá treo tivi led cố định cho mọi hãng tivi từ 19-55 inch kèm ốc vít M55","66.000 ₫","voucher giảm 33%","53 Đã bán","(12)"
"Giá treo màn hình máy tính Govis từ 17-30 inch - Tải trọng 9Kg, xoay 360 độ, Mẫu Mới","480.000 ₫","voucher giảm 50%","39 Đã bán","(39)"
"Khung mâm chính hãng Cảnh Phong giá treo tivi led cố định cho mọi hãng tivi từ 19-55 inch kèm ốc vít M55","66.000 ₫","","10 Đã bán","(3)"
"[ 20H 09-12/10 SALE BÙNG NỔ 22990K TẶNG 10 ĐƠN ĐẦU TIÊN NỒI CHIÊN TCL - 5 ĐƠN TIẾP THEO MLKK KJ 270F CHO DÒNG ML FRESHIN, TV C755, C845 ] TCL MINI LED ALL-ROUND TV - Tivi 75 inch - 75C845 - Google TV - OK Google - tivi 75 inch chất lượng - Hàng chính hãng","48.290.000 ₫","","18 Đã bán","(5)"
"Dây Cáp Nối Tường Ra TV UNISAT Chịu Nhiệt, Chống Nhiễu Cực Tốt","32.000 ₫","voucher giảm 30%","487 Đã bán","(147)"
"Sony 1275 #1370 - Remote điều khiển Tivi Sony RM-L1275","30.000 ₫","","92 Đã bán","(17)"
"[Hàng tặng không bán] Giá treo TiVi thẳng Daikiosan DP243","1.000.000 ₫","","102 Đã bán","(37)"
"UGREEN Type c to DP1.4 Cable 8K 60Hz Uni-directional Support Support VVR Funcion 3D HDR Dolby for laptop Desktop Monitor model:25158","279.000 ₫","voucher giảm 26%","147 Đã bán","(29)"
"Cáp HDMI 2.1 48Gbps Ugreen HD140 Hỗ trợ phân giải 8K/60Hz | Sử dụng cho Xiaomi TV Box PS5 HUB USB | Truyền tải tín hiệu không suy hao, Vỏ hợp kim chống nhiễu tốt | Bảo Hành 1 đổi 1 18 Tháng | 40300 80401 80402 80403 80404 804","192.000 ₫","voucher giảm 16%","615 Đã bán","(163)"
"X96q 2gb 16gb Android 10.0 4k Tv Box Allwinner H313 Quad Core 2.4g Wifi Google Player Youtube Set Top Box Với Hdmi-tương thích 2.0","248.500 ₫","","17 Đã bán","(6)"
"[SIÊU SALE TỪ 20H 9-12.10] Smart Tivi Samsung 4K Crystal UHD DU8000 UA65DU8000KXXV(2024)- 65 inch- Hàng Chính Hãng - Phân Phối Bởi Lazada - MIỄN PHÍ VẬN CHUYỂN TOÀN QUỐC","14.162.000 ₫","voucher giảm 29%","185 Đã bán","(37)"
"[HCM]Điều khiển máy lạnh HITACHI - Remote máy lạnh HITACHI- HITACHI","59.000 ₫","voucher giảm 9%","65 Đã bán","(14)"
"Máy Chiếu Mini Cao Cấp 4K K670 Plus Mới Nhất 2024, Máy chiếu LED thông minh Android 11 với Tự động lấy nét WiFi 5G kép và Điện thoại gương","2.218.605 ₫","voucher giảm 52%","695 Đã bán","(129)"
"Google Tivi Xiaomi A HD 32 Inch L32M8-P2SEA - Vẻ ngoài cao cấp, thiết kế siêu tràn viền Google TV với hàng nghìn Ứng dụng - GIAO TOÀN QUỐC - FREESHIP HCM","3.979.000 ₫","voucher giảm 25%","17 Đã bán","(7)"
"Google Tivi Coocaa 43 Inch 43Z73 - GIAO TOÀN QUỐC - FREESHIP HCM","5.459.000 ₫","voucher giảm 24%","16 Đã bán","(4)"
"TV box android 13.0 Ram 4G bộ nhớ 32GB hỗ trợ video 4k siêu rõ nét phù hợp giải trí cho cả gia đình bảo hành 12 tháng H96max RK 3528 android tv box","699.000 ₫","voucher giảm 41%","374 Đã bán","(71)"
"Google TV Xiaomi A HD 32 Inch L32M8-P2SEA - Premium look, super borderless design Google TV with thousands of Apps","3.529.000 ₫","voucher giảm 26%","9 Đã bán","(2)"
"Remote điều khiển đầu thu Viettel TV360, Điều Khiển Viettel TV360 Có Giọng Nói - Tặng kèm pin","195.000 ₫","voucher giảm 50%","",""
"SmartBox - Remote điều khiểu SmartBox, thay thế FPT 2018 2019","30.000 ₫","","139 Đã bán","(18)"
"Bao đựng Tivi 25in, 32in, 40in, 43in,50in","319.000 ₫","","49 Đã bán","(12)"
"phim phân cực 24 inch 24in 24inch wide (hình chữ nhật) để dán cho màn hình LCD tivi hmilaptop điện thoại odo xe máy","95.000 ₫","","107 Đã bán","(18)"
"[Hàng Chính Hãng] Giá Treo Tivi Di Động NB AVA1500 32 - 75 Inch Giá Treo Tivi Có Bánh Xe Di Chuyển - Model 2022","1.220.000 ₫","voucher giảm 24%","44 Đã bán","(16)"
"Google Tivi Sony 4K 50 inch K-50S30 - [HCM] [Trả Góp] - Trình chiếu hình ảnh từ điện thoại lên tivi qua Chromecast, AirPlay 2 (iPhone) - GIAO HÀNG TOÀN QUỐC - FREESHIP HCM","15.789.000 ₫","voucher giảm 25%","7 Đã bán","(2)"
"Siêu Máy Chiếu BEECUBE Xtreme GEN 2 - Độ Phân Giải FullHD 1080P - Bảo Hành 12 Tháng","5.990.000 ₫","voucher giảm 25%","127 Đã bán","(53)"
"Giá treo máy chiếu 60cm, 120cm","135.000 ₫","voucher giảm 21%","161 Đã bán","(23)"
"Cáp HDMI 2.0 Ugreen ED015 Dạng dây bẹt | Hỗ trợ độ phân giải 3D 4Kx2K 4096x2160p/30Hz | Bảo Hành 1 đổi 1 18 Tháng | 50819 70159 50820 50821","138.000 ₫","voucher giảm 4%","2.0K Đã bán","(463)"
"Toshiba 90336 - Remote điều khiển Toshiba CT-90336","25.000 ₫","","374 Đã bán","(105)"
"Google TV TCL 4K 65 inch 65P79B Pro - [HCM] [Trả Góp] - Remote tích hợp micro tìm kiếm bằng giọng nói - GIAO HÀNG TOÀN QUỐC - FREESHIP HCM","11.899.000 ₫","voucher giảm 31%","",""
"Túi đựng Tivi 32in da simili đen và nâu vân sấu","390.000 ₫","","183 Đã bán","(43)"
"Giá Treo Tivi Di Động North Bayou AVA1500 (32 - 75 inch) - Bảo hành 12 tháng","1.228.000 ₫","voucher giảm 35%","",""
"ARM / Giá treo màn hình Human Motion T6 di chuyển linh hoạt xoay 360 độ,chất liệu kim loại chắc chắn- Hàng chính hãng - bảo hành 1 năm","630.000 ₫","voucher giảm 9%","64 Đã bán","(17)"
"phim phân cực 32in để dán tivi bị ố dộp mốc lang beng, trầy xước, tặng dao cạo keo, khăn lau bụi, hướng dẫn dán","99.000 ₫","","950 Đã bán","(229)"
"Androi Tivi box Viettel -TV 360 - ĐÃ CHẠY ROM ATV - Xem Truyền hình - Giải Trí Bóng Đá- Youtube- Miễn Phí (Hàng đẹp)","439.000 ₫","voucher giảm 11%","197 Đã bán","(74)"
"Máy Chiếu Mini KAW K660 Hỗ Trợ 4K Siêu Nét Full HD 1080, Xem Phim, Giải Trí, Dạy Học Văn Phòng Có Quai Xách","2.175.000 ₫","voucher giảm 48%","253 Đã bán","(88)"
"Chuột bay tích hợp diều khiển giọng nói dùng cho tivi box android bảo hành 12 tháng T1 max điều khiển từ xa","199.000 ₫","voucher giảm 33%","292 Đã bán","(95)"
"Androi Box FPT [ CŨ ] Đầy Đủ Phụ Kiện - [ Xem Truyền Hình-Youtube-Bóng Đá Miễn Phí Trọn Đời ]-Điều Khiển Giọng Nói","495.000 ₫","","11 Đã bán","(5)"
"Khuếch Đại Truyền Hình Cáp PACIFIC (UNISAT) DA-20","290.000 ₫","voucher giảm 12%","35 Đã bán","(15)"
"[Miễn phí lắp đặt + Freeship] Smart Tivi Samsung The Frame LS03D QLED 4K Chế độ tranh Art Mode","21.755.000 ₫","voucher giảm 5%","",""
"Nanomax - Remote điều khiển Tivi Nanomax, IMusic (giống mẫu mới dùng được)","32.000 ₫","","206 Đã bán","(33)"
"[GIAO TẠI HCM] - UA65AU7700 - Smart TV SAMSUNG UHD 4K 65 inch 65AU7700 - UA65AU7700","11.790.000 ₫","voucher giảm 23%","10 Đã bán","(2)"
"Máy Chiếu Mini 4K K880, Chính Hãng KAW, Hệ ĐIều Hành Android 9.0, Độ Sáng Cao, Xem Phim, Giải Trí - BẢO HÀNH 1 ĐỔI 1","2.259.000 ₫","voucher giảm 50%","2.9K Đã bán","(162)"
"Đầu thu kỹ thuật số SCTV DVB-T2 JN-820T2","209.000 ₫","voucher giảm 28%","379 Đã bán","(124)"
"Smart Tivi LG 43 Inch 4K 43UQ7050PSA - GIAO TOÀN QUỐC - FREESHIP HCM","7.599.000 ₫","voucher giảm 21%","26 Đã bán","(10)"
"Máy chiếu mini tích hợp android 11.0 kết nối wifi xem phim sử dụng giải trí gia đình bảo hành 12 tháng máy chiếu thông minh HY300pro","1.399.000 ₫","voucher giảm 46%","62 Đã bán","(29)"
"Máy Chiếu 4K Androi KAW XS1 Chiếu Siêu Nét, Máy Chiếu Cao Cấp Chính Hãng, Xem Phim Giải Trí, Dạy Học, Văn Phòng, Đa Năng","5.789.000 ₫","voucher giảm 50%","523 Đã bán","(101)"
"Smart Tivi Samsung 4K QLED 85 inch QA85Q60B - Bảo hành 24 tháng","32.890.000 ₫","voucher giảm 33%","",""
"Khung mâm Cảnh Phong giá treo tivi led cố định hàng loại dày cho mọi hãng tivi từ 19-55 inch kèm ốc vít","47.000 ₫","voucher giảm 22%","24 Đã bán","(5)"
"Anten HKD H9 có khuếch đại, có cục nguồn adapter 5V","109.000 ₫","","52 Đã bán","(11)"
"FPT Play Box+ T550 Android 10- điều khiển bằng giọng nói-Giao diện ATV tùy biến","850.000 ₫","voucher giảm 19%","151 Đã bán","(51)"
"Tài khoản VieOn Vip - HBO Ứng Dụng Xem Phim Được Bảo Hành Xuyên Suốt Quá Trình Sử Dụng - Shop Premium","150.000 ₫","voucher giảm 25%","21 Đã bán","(10)"
"FPT Play Box 650 ROM ATV","840.000 ₫","voucher giảm 5%","27 Đã bán","(8)"
"Google TV QD-Mini LED TCL 4K 98C755 - [HCM] [Trả Góp] - Với kiểu dáng mỏng và liền khối, TCL C755 hài hoà mọi không gian sống","56.890.000 ₫","voucher giảm 26%","",""
"Smart Tivi LG 4K 55 inch 55UT8050PSB - [HCM] [Trả Góp] - Google Assistant có tiếng Việt Hệ điều hành WebOS 24 Magic Remote - GIAO HÀNG TOÀN QUỐC - FREESHIP HCM","11.159.000 ₫","voucher giảm 33%","",""
"Smart TV HD Coocaa 32 Inch 32S3U - 32S3U+ - Miễn phí vận chuyển HCM - không dùng được netflix - GIAO TOÀN QUỐC - FREESHIP HCM","3.039.000 ₫","voucher giảm 25%","46 Đã bán","(18)"
"[ 20H 09-12/10 SALE BÙNG NỔ 13290K TẶNG 20 ĐƠN ĐẦU TIÊN LOA S522W - 5 ĐƠN TIẾP MLKK BREEVA A1C CHO DÒNG T7B, C655, 75P745 ] Google Tivi TCL 4K 75 inch 75P745 - Hàng chính hãng - Bảo hành 2 năm","19.490.000 ₫","","5 Đã bán","(2)"
"HDMI Không Dây ANYCAST M4 Plus Mẫu Mới 2024, Thiết Bị Kết Nối HDMI Không Dây Từ Điện thoại Lên TV Anycast M4 PLUS Hỗ Trợ 3G/4G/WIFI, Tốc Độ Kết Nối Siêu Nhanh (Dùng cho Android/IOS).","180.000 ₫","voucher giảm 50%","20 Đã bán","(12)"
"Máy Chiếu Mini KS990 điều khiển giọng nói Cho Văn Phòng Gia Đình Trường Học, mới 2024 độ phân giải 4K hình ảnh sắc nét âm thanh sống động - Bảo hành chính hãng","3.776.494 ₫","voucher giảm 51%","786 Đã bán","(107)"
"Smart TV HD Coocaa 32 Inch 32S3U - 32S3U+ - không dùng được netflix - GIAO TOÀN QUỐC - FREESHIP HCM","3.039.000 ₫","voucher giảm 25%","11 Đã bán","(6)"
"Máy Chiếu 4K Siêu Nét KAW K660 Plus Android 10, Tự Động Lấy Nét - Bảo hành chính hãng 12 tháng","2.071.905 ₫","voucher giảm 52%","548 Đã bán","(137)"
"Máy chiếu KAW Pro KP960 4K hình ảnh sắc nét âm thanh 3D -Hàng chính hãng bảo hành 1 đổi 1","3.890.000 ₫","voucher giảm 50%","818 Đã bán","(70)"
"Google Tivi Xiaomi A HD 32 Inch L32M8-P2SEA - GIAO TOÀN QUỐC - FREESHIP HCM","3.979.000 ₫","voucher giảm 25%","20 Đã bán","(3)"
"Android tv box hệ điều hành Android 13.0 chip xử lý cực nhanh tích hợp đa dạng các ứng dụng bảo hành 12 tháng H96max 3528 tivi box","699.000 ₫","voucher giảm 41%","73 Đã bán","(33)"
"Vidaa Tivi TOSHIBA 55 inch 55X9900LP, Smart TV Màn Hình OLED 4K UHD - Loa 113W - Tần Số Quét 120Hz - Miễn Phí Lắp Đặt","39.999.000 ₫","voucher giảm 27%","7 Đã bán",""
"Giá treo, Khung treo tivi xoay đa năng Cảnh Phong từ 32 đến 55 inch - Xoay mọi góc độ - B1","179.000 ₫","","",""
